HbO_Ch1,HbR_Ch1,Total_Ch1,HbO_Ch2,HbR_Ch2,Total_Ch2,HbO_Ch3,HbR_Ch3,Total_Ch3,HbO_Ch4,HbR_Ch4,Total_Ch4,HbO_Ch5,HbR_Ch5,Total_Ch5,HbO_Ch6,HbR_Ch6,Total_Ch6,HbO_Ch7,HbR_Ch7,Total_Ch7,HbO_Ch8,HbR_Ch8,Total_Ch8,HbO_Ch9,HbR_Ch9,Total_Ch9,HbO_Ch10,HbR_Ch10,Total_Ch10,HbO_Ch11,HbR_Ch11,Total_Ch11,HbO_Ch12,HbR_Ch12,Total_Ch12,HbO_Ch13,HbR_Ch13,Total_Ch13,HbO_Ch14,HbR_Ch14,Total_Ch14,HbO_Ch15,HbR_Ch15,Total_Ch15,HbO_Ch16,HbR_Ch16,Total_Ch16
-0.0031,0.0056,0.0118,-0.0089,-0.0018,0.0016,0.0016,-0.0009,-0.001,0.0021,0.0075,-0.0088,0.0069,-0.0081,0.0015,-0.0005,-0.0001,-0.0028,0.0019,-0.0004,0.001,-0.0005,0.0022,-0.0062,0.0043,-0.0109,-0.0005,0.0017,0.0027,-0.0069,0.0028,-0.008,0.0024,-0.0048,0.0042,-0.0053,0.0046,-0.0056,0.0029,-0.008,0.0052,-0.0081,0.0018,-0.0026,0.0039,-0.0057,0.0036,-0.0064
0.0015,-0.0009,-0.0012,0.0012,0.013,-0.0078,0.0012,-0.0001,-0.0003,0.0034,-0.0054,0.0026,-0.004,0.0033,0.0018,-0.0009,0.0008,-0.0028,0.0006,0.0009,0.0015,-0.001,0.0021,-0.006,0.0055,-0.0098,0.003,-0.0021,0.0027,-0.0068,0.0029,-0.0079,0.0004,-0.0039,0.0041,-0.0052,0.0047,-0.0058,0.0025,-0.0082,0.0036,-0.0062,0.0016,-0.0025,0.0032,-0.0055,0.0034,-0.0062
-0.0042,0.0062,0.0068,-0.0066,-0.0014,0.002,0.002,-0.001,-0.0019,0.0056,-0.001,-0.0003,0.0002,0.0026,0.0013,-0.0006,-0.002,-0.0017,-0.0049,0.0073,0.0012,-0.0009,0.0022,-0.0061,0.0089,-0.015,0.0014,0.0007,0.0026,-0.007,0.0022,-0.0077,0.002,-0.0055,0.0041,-0.0053,0.0044,-0.0058,0.0024,-0.0079,0.0048,-0.0081,0.0015,-0.0025,0.0023,-0.0051,0.0029,-0.006
-0.0015,0.0029,0.0035,-0.0047,0.0044,-0.0027,0.0012,-0.0005,-0.0044,0.0065,-0.0012,-0.0018,-0.0024,0.0039,0.0002,0.0001,0.0053,-0.0087,0.0045,-0.0011,0.0004,-0.0004,0.0015,-0.0057,0.0066,-0.0143,0.0015,-0.0013,0.0023,-0.0069,0.0019,-0.0073,-0.0022,-0.001,0.0039,-0.0054,0.0043,-0.0059,0.0019,-0.0076,0.0026,-0.0058,0.0014,-0.0026,0.0023,-0.0057,0.003,-0.0063
-0.0034,0.003,-0.0041,0.0044,0.0052,-0.0032,0.0009,-0.0005,0.0025,-0.0002,0.0032,-0.0019,0.0109,-0.0084,0.0009,-0.0003,-0.0018,-0.0012,0.0093,-0.0044,0.0006,-0.0006,0.0017,-0.0059,0.0048,-0.0122,-0.0042,0.0063,0.0023,-0.0069,0.0029,-0.0082,-0.0052,0.0009,0.0039,-0.0054,0.0043,-0.0057,0.0014,-0.0071,0.0041,-0.0077,0.0012,-0.0026,0.0022,-0.0053,0.0029,-0.0063
0.0023,-0.0011,0.0019,-0.004,0.0107,-0.0077,-0.0002,0.0011,-0.0045,0.0048,-0.0032,-0.0002,-0.0001,0.0031,0.002,-0.0011,0.003,-0.0039,0.0054,-0.0017,0.0011,-0.0006,0.0023,-0.0061,0.0047,-0.0108,0.0006,0.003,0.0029,-0.0069,0.0039,-0.0086,-0.0015,-0.0005,0.0041,-0.0053,0.0054,-0.006,0.003,-0.0079,0.0037,-0.0065,0.0019,-0.0028,0.0037,-0.0053,0.0035,-0.0062
-0.0045,0.0069,-0.0007,0.0034,-0.0016,0.003,0.0004,0.0006,-0.0012,0.0048,0.0014,-0.004,0.0094,-0.0062,0.0013,-0.0005,0.0028,-0.0049,-0.0008,0.0021,0.0012,-0.0007,0.0026,-0.0064,0.0055,-0.0135,-0.0033,0.003,0.0028,-0.0069,0.0022,-0.0076,-0.0014,-0.0014,0.0043,-0.0054,0.005,-0.0057,0.0021,-0.007,0.0048,-0.0076,0.0018,-0.0026,0.0038,-0.0053,0.0036,-0.0063
0.0011,0.0021,0.0014,-0.0054,0.0009,0.0021,0.0012,-0.0004,-0.0003,0.0026,-0.0031,0.0032,0.0049,-0.0043,0.0015,-0.0006,-0.0009,-0.0019,0.0033,-0.0018,0.0007,-0.0004,0.0022,-0.0061,0.0023,-0.0088,-0.0023,0.0055,0.0027,-0.0068,0.0027,-0.008,0.0026,-0.0039,0.0042,-0.0053,0.0049,-0.0057,0.0029,-0.0081,0.0045,-0.0072,0.002,-0.0028,0.0027,-0.0048,0.0032,-0.0061
-0.0003,0.0023,-0.0013,-0.0003,0.0016,-0.0007,0.0018,-0.001,-0.0055,0.007,0.0047,-0.0056,0.007,-0.0055,0.0013,-0.0004,-0.0005,-0.0011,0.0036,-0.0014,0.0007,-0.0003,0.0023,-0.0061,0.0079,-0.0162,0.0043,-0.0036,0.0028,-0.0069,0.0022,-0.0075,0.0048,-0.0076,0.0041,-0.0053,0.0049,-0.0058,0.003,-0.0083,0.0045,-0.0073,0.0016,-0.0025,0.0032,-0.0054,0.0034,-0.0063
-0.0066,0.008,0.0092,-0.009,-0.0043,0.0064,0.0009,0,-0.0027,0.0038,-0.0013,-0.0008,0.004,-0.003,0.002,-0.001,-0.0016,0.0011,0.0038,0.0004,0.0008,-0.0006,0.0019,-0.0059,0.0031,-0.0089,0.0001,-0.0019,0.0027,-0.007,0.0024,-0.0077,-0.0023,0.0005,0.0041,-0.0054,0.0047,-0.0058,0.0023,-0.0082,0.0037,-0.007,0.0016,-0.0026,0.0028,-0.0055,0.0034,-0.0065
-0.0017,0.0034,-0.0015,0.0023,-0.0003,0.0033,0.0002,0,-0.0037,0.0052,0.0065,-0.0051,0.0056,-0.005,0.0009,-0.0005,0,-0.0034,0.0068,-0.0031,0.0003,-0.0004,0.0022,-0.0063,0.0031,-0.0102,0.0037,-0.0045,0.0025,-0.0069,0.0021,-0.0074,0.003,-0.0065,0.004,-0.0054,0.0044,-0.0057,0.0016,-0.0074,0.0049,-0.0074,0.0014,-0.0026,0.0017,-0.0051,0.0029,-0.0062
-0.0019,0.0045,0.0039,-0.0064,0.0079,-0.0036,-0.0003,0.0006,-0.003,0.003,0.001,-0.0011,0.0012,0.002,0.0007,-0.0004,-0.0048,0.0022,-0.0011,0.0037,0.0004,-0.0006,0.0021,-0.0064,0.0049,-0.0122,0.001,-0.0011,0.0022,-0.0069,0.0019,-0.0078,-0.0017,-0.0021,0.0039,-0.0055,0.004,-0.0057,0.0015,-0.0077,0.0029,-0.0064,0.0013,-0.0026,0.0015,-0.0053,0.0027,-0.0062
-0.0041,0.0056,0.0035,-0.0047,0.0038,-0.0011,0.0008,-0.0004,0.004,-0.0022,0.0039,-0.0063,-0.0043,0.0047,0.0008,-0.0004,0.0096,-0.0124,0.0069,-0.0037,0.0004,-0.0004,0.002,-0.0063,0.0046,-0.0118,-0.0073,0.009,0.0025,-0.007,0.0029,-0.0082,0.0041,-0.0073,0.0038,-0.0053,0.0047,-0.0059,0.0017,-0.0074,0.0036,-0.007,0.0015,-0.0028,0.0022,-0.0049,0.003,-0.0063
-0.0061,0.0081,0.0024,-0.0024,0.0074,-0.0065,0.0005,0,-0.0004,0.0023,-0.0004,-0.0018,0.0084,-0.0055,0.0024,-0.0016,-0.0011,-0.0005,0.0062,-0.0043,0.001,-0.0005,0.002,-0.0059,-0.0001,-0.007,-0.0058,0.0035,0.0029,-0.0069,0.0028,-0.0078,0.0021,-0.0065,0.0042,-0.0054,0.0051,-0.0056,0.0027,-0.0076,0.0044,-0.0069,0.0017,-0.0026,0.004,-0.0057,0.0034,-0.0062
0.0002,0.0026,0.0026,-0.001,0.0056,-0.002,0.0013,-0.0008,-0.0008,0.0008,0.0022,-0.0051,0.0068,-0.0044,0.0012,-0.0005,-0.004,0.0011,0.0039,0.0006,0.0007,-0.0003,0.0022,-0.006,0.0032,-0.0109,-0.0022,0.0013,0.0029,-0.0069,0.0028,-0.008,0.0021,-0.0055,0.0042,-0.0053,0.005,-0.0057,0.0026,-0.0076,0.0038,-0.0064,0.0018,-0.0026,0.0042,-0.0058,0.0034,-0.0062
0.0001,0.0017,-0.0025,0.0021,0.0144,-0.0113,0.0015,-0.0006,0.0003,0.0012,0.0014,-0.0006,0.0145,-0.012,0.0014,-0.0006,-0.0005,-0.0029,0.0105,-0.0083,0.0006,-0.0002,0.0024,-0.0064,0.0042,-0.0115,-0.0017,0.0026,0.0028,-0.0069,0.003,-0.008,0.0032,-0.0048,0.0041,-0.0053,0.0051,-0.006,0.0024,-0.0077,0.0049,-0.0081,0.0018,-0.0027,0.0028,-0.005,0.0032,-0.006
-0.0048,0.0065,0.006,-0.0079,0.0043,-0.0007,0.0005,0.0005,-0.0017,0.0021,0.0003,-0.0019,0.0013,-0.0002,0.0016,-0.0008,0.0022,-0.0062,0.0078,-0.006,0.0008,-0.0005,0.002,-0.006,0.0064,-0.0135,-0.0047,0.0054,0.0027,-0.0068,0.0022,-0.0072,-0.0011,-0.0028,0.0041,-0.0053,0.0048,-0.0057,0.0018,-0.0073,0.004,-0.0072,0.0015,-0.0024,0.0029,-0.0053,0.0034,-0.0063
-0.0006,0.002,0.0038,-0.0046,0.0014,0.0013,0.0005,0.0002,-0.0012,0.0036,0.0075,-0.0088,-0.0041,0.0062,0.0012,-0.0006,0.001,-0.0025,0.0022,-0.003,0.0004,-0.0003,0.0022,-0.0062,0.0015,-0.0093,0.0074,-0.0064,0.0027,-0.0069,0.0021,-0.0074,0.0042,-0.0071,0.0041,-0.0054,0.0047,-0.0059,0.0017,-0.007,0.0038,-0.0067,0.0015,-0.0026,0.0022,-0.0051,0.0032,-0.0062
0.0044,-0.0043,-0.0006,-0.0019,0.0059,-0.0037,0.0013,-0.0007,0,0.0017,0.0071,-0.0066,0.006,-0.0048,0.0013,-0.0009,-0.001,-0.0029,0.0051,-0.0012,-0.0001,-0.0001,0.0019,-0.0062,0.0025,-0.0113,0.0021,-0.0028,0.0023,-0.0068,0.0023,-0.0078,0.0107,-0.0111,0.0038,-0.0053,0.0043,-0.0057,0.0016,-0.0073,0.0037,-0.0069,0.0013,-0.0026,0.002,-0.0055,0.0031,-0.0064
-0.0019,0.0018,-0.0001,-0.0026,0.0077,-0.0064,-0.0003,0.0003,0.0028,-0.0013,-0.0054,0.0026,-0.0044,0.0058,0.0003,-0.0002,0.0055,-0.008,0.0068,-0.0038,-0.0001,-0.0002,0.0018,-0.0063,0.003,-0.0102,0.0028,0.0005,0.0024,-0.007,0.0028,-0.0083,-0.0041,0.0013,0.0037,-0.0054,0.004,-0.0058,0.0014,-0.0074,0.0048,-0.0083,0.0011,-0.0026,0.0014,-0.0053,0.0027,-0.0062
-0.0023,0.0051,0.0008,-0.0028,0.0036,-0.0002,0,0.0002,-0.0031,0.0037,0.0011,-0.0021,0.0083,-0.0071,0.001,-0.0007,0.0016,-0.0064,0.0076,-0.0057,0.0004,-0.0004,0.0017,-0.0059,0.0052,-0.0141,0.0063,-0.0048,0.0025,-0.0069,0.0028,-0.0083,0.0014,-0.005,0.0038,-0.0053,0.0047,-0.0057,0.002,-0.0078,0.0038,-0.0074,0.0014,-0.0027,0.0034,-0.0058,0.0031,-0.0063
0.0009,0.0036,-0.0027,0.0035,0.0067,-0.0042,0.0018,-0.0009,0.0005,0.002,0.0012,-0.0051,0.0111,-0.0112,0.0013,-0.0008,0.0038,-0.0074,0.0004,0.0015,0.0008,-0.0004,0.0026,-0.0064,0.0033,-0.0099,0.0005,-0.0008,0.0029,-0.0069,0.0018,-0.0072,-0.0013,-0.0014,0.0042,-0.0054,0.0052,-0.0058,0.0017,-0.0067,0.0044,-0.0076,0.0016,-0.0026,0.0038,-0.0054,0.0032,-0.0059
0.0027,-0.0028,0.0014,-0.001,0.0088,-0.0075,0.0001,0.0008,0,-0.0012,-0.0048,0.0026,0.0026,0.0002,0.0016,-0.0008,-0.0001,-0.005,0.0011,-0.0001,0.0007,-0.0003,0.0021,-0.006,0.0029,-0.0096,-0.0011,0.0034,0.003,-0.007,0.002,-0.0075,-0.0014,-0.0034,0.0043,-0.0055,0.005,-0.0057,0.0022,-0.0075,0.0041,-0.0072,0.0018,-0.0026,0.0029,-0.005,0.0034,-0.0063
-0.0032,0.0051,0.01,-0.0095,0.006,-0.0027,0.0008,-0.0001,-0.0023,0.0011,0.0122,-0.0126,0.0072,-0.0054,0.0011,-0.0004,-0.0015,-0.0031,0.0033,0.0015,0.0006,-0.0003,0.0021,-0.006,0.0023,-0.0097,-0.0016,0.002,0.0029,-0.007,0.0022,-0.0076,0.0005,-0.0027,0.0042,-0.0054,0.0049,-0.0058,0.002,-0.0076,0.0051,-0.008,0.0017,-0.0027,0.0038,-0.0061,0.0035,-0.0064
-0.0008,0.0034,0.0062,-0.0069,0.0011,0.0023,-0.0002,0.0007,-0.0002,-0.0005,-0.0047,0.0046,0.0041,-0.0016,0.0015,-0.0008,0.0128,-0.0142,0.0092,-0.0038,0.0008,-0.0005,0.0021,-0.0061,0.0056,-0.0129,-0.0083,0.0091,0.003,-0.0071,0.0024,-0.0075,-0.0016,-0.0012,0.0041,-0.0054,0.0048,-0.0057,0.0013,-0.007,0.0038,-0.0067,0.0018,-0.0028,0.0033,-0.0059,0.0034,-0.0063
-0.0018,0.0029,-0.0017,-0.0008,0.0105,-0.0061,0.0008,-0.0004,-0.0007,0.002,-0.0026,0.0011,0.011,-0.0094,0.0009,-0.0004,0.0071,-0.0112,0.0015,0.0025,0.0005,-0.0004,0.0021,-0.0063,0.0029,-0.009,-0.0118,0.0131,0.0027,-0.007,0.0023,-0.0075,0.0046,-0.0085,0.0041,-0.0055,0.0045,-0.0058,0.0016,-0.0075,0.0048,-0.0074,0.0016,-0.0027,0.0021,-0.0052,0.0033,-0.0065
-0.0024,0.0046,0.0091,-0.0082,0.0023,-0.0001,0.0007,-0.0003,-0.0027,0.0046,0.0029,-0.0053,0.01,-0.0066,0.0008,-0.0004,0.0099,-0.0139,0.0117,-0.0097,0.0001,-0.0004,0.0016,-0.0058,0.0046,-0.0136,-0.0017,0.0019,0.0025,-0.007,0.0025,-0.0079,0.0009,-0.0022,0.0039,-0.0054,0.0043,-0.0058,0.0003,-0.0064,0.0039,-0.007,0.0014,-0.0028,0.0013,-0.005,0.0032,-0.0065
-0.0011,0.0016,0.0079,-0.0095,0.0033,-0.0015,-0.0014,0.0013,-0.0008,0.0022,0.0014,-0.0017,0.005,-0.0064,0.001,-0.0009,-0.0019,-0.0014,0.0093,-0.0068,0,-0.0003,0.0019,-0.0062,0.0029,-0.0092,-0.0038,0.005,0.0023,-0.0071,0.002,-0.0077,0,-0.0043,0.0037,-0.0054,0.004,-0.0058,0.0009,-0.0075,0.0036,-0.0071,0.001,-0.0026,0.0008,-0.005,0.0027,-0.0063
-0.0032,0.0045,-0.0049,0.0046,-0.0025,0.0032,0.0003,-0.0001,-0.0013,0.0028,-0.0009,-0.0001,0.0066,-0.0045,0.0009,-0.0006,-0.0009,-0.0035,0.0055,-0.0043,0.0002,-0.0003,0.0016,-0.0058,-0.0014,-0.006,-0.0027,0.003,0.0026,-0.0069,0.0019,-0.0075,-0.0027,0.0015,0.0039,-0.0054,0.0049,-0.0058,0.0009,-0.0068,0.0039,-0.0068,0.0014,-0.0027,0.0033,-0.0056,0.0033,-0.0063
-0.0076,0.0088,-0.0019,0.0002,0.0018,-0.0005,0.0006,-0.0003,0,0.0008,-0.0046,0.0014,-0.0018,0.0057,0.0003,0.0002,0,-0.0027,-0.0017,0.0046,0.0005,-0.0002,0.0018,-0.0057,0.0037,-0.01,-0.0007,0.0007,0.0029,-0.0069,0.003,-0.008,-0.0014,-0.0014,0.0043,-0.0055,0.0051,-0.0058,0.0024,-0.0077,0.0035,-0.0059,0.0016,-0.0027,0.0038,-0.0058,0.0036,-0.0063
0.0016,0.0007,0.0026,-0.001,0.0011,0.0011,0.0006,0.0002,-0.0049,0.0077,0.0033,-0.0059,0.0053,-0.0034,0.0013,-0.0005,-0.0047,0.0012,0.0027,0.0016,0.0004,-0.0001,0.002,-0.006,0.0034,-0.0101,0.0017,-0.0005,0.003,-0.007,0.0027,-0.0079,-0.0031,0.0004,0.0042,-0.0054,0.005,-0.0058,0.0027,-0.0085,0.0044,-0.0072,0.0016,-0.0027,0.0028,-0.0049,0.0036,-0.0063
-0.0035,0.0046,0.0049,-0.0067,0.0042,-0.0029,0.0002,0.0006,-0.0004,0.0001,-0.006,0.0045,-0.0014,0.0025,0.0011,-0.0007,-0.0039,0.0029,0.0006,0,0.0007,-0.0005,0.0023,-0.0062,0.0008,-0.0072,0.0025,-0.0024,0.0028,-0.007,0.0031,-0.0082,0.0025,-0.0058,0.0042,-0.0055,0.0051,-0.006,0.0024,-0.0078,0.0048,-0.0072,0.0016,-0.0026,0.0032,-0.0055,0.0032,-0.0061
-0.0022,0.0054,0.0003,-0.0033,0.0066,-0.0023,0.0001,0.0003,0.0018,0.0008,0.0039,-0.0044,0.0074,-0.0069,0.0009,-0.0005,-0.0039,0.0027,0.0083,-0.0057,0.0003,-0.0002,0.0018,-0.006,0.0036,-0.0122,0.0017,-0.0005,0.0028,-0.007,0.0021,-0.0075,-0.0002,-0.0034,0.0042,-0.0055,0.0049,-0.006,0.0014,-0.0073,0.0023,-0.0056,0.0015,-0.0026,0.0031,-0.006,0.0035,-0.0064
-0.0045,0.0054,0.0089,-0.0091,0.0093,-0.0088,0.0008,-0.0004,0.003,-0.0033,0.0014,-0.0049,0.0017,-0.0032,0.0004,0.0001,0.0022,-0.0062,0.0101,-0.0063,0,-0.0002,0.0019,-0.0062,0.0055,-0.0123,-0.0008,0.0037,0.0026,-0.007,0.0026,-0.0079,0.0003,-0.0055,0.0041,-0.0056,0.0046,-0.0059,0.0025,-0.0086,0.0039,-0.0067,0.0014,-0.0027,0.0023,-0.0054,0.003,-0.0063
-0.0021,0.0037,0.0077,-0.0079,0.0033,-0.0015,-0.0015,0.0015,-0.0027,0.0032,0.006,-0.0065,-0.0049,0.0081,0.0003,-0.0002,-0.0006,-0.0051,0.0028,0.0026,0.0001,-0.0003,0.0014,-0.0058,0.0063,-0.0115,0.0011,-0.0003,0.0025,-0.007,0.0025,-0.0083,0.0051,-0.0087,0.0039,-0.0056,0.0043,-0.0058,0.0024,-0.0083,0.0026,-0.0055,0.0012,-0.0028,0.0016,-0.0053,0.0033,-0.0066
0.0009,0.0011,0.0046,-0.0069,-0.0003,0.0033,-0.0009,0.0004,-0.0024,0.0012,-0.0046,0.0031,-0.0009,0.0021,0.0012,-0.0012,-0.0006,-0.0022,0.0064,-0.0042,-0.0001,-0.0004,0.0012,-0.0057,0.0017,-0.0085,-0.0006,0.0008,0.0024,-0.0071,0.0029,-0.0085,0.0001,-0.0034,0.0039,-0.0056,0.0045,-0.006,0.0013,-0.0074,0.0036,-0.0072,0.0011,-0.0027,0.0019,-0.0056,0.0028,-0.0062
-0.0022,0.0019,0.0026,-0.0034,0.0041,-0.0009,-0.0004,0.0006,0.0036,-0.0015,0.0067,-0.006,0.0039,-0.0048,0.001,-0.0006,0.0027,-0.0062,0.0086,-0.0061,0.0003,-0.0003,0.0022,-0.0062,0.0006,-0.0065,0.0026,-0.0011,0.0029,-0.0069,0.0026,-0.008,-0.004,0.0007,0.0042,-0.0056,0.0052,-0.0057,0.0024,-0.008,0.0031,-0.0055,0.0016,-0.0028,0.0031,-0.0048,0.0034,-0.0064
-0.0029,0.0034,-0.007,0.0036,0.0018,-0.0016,-0.001,0.0011,0.0007,0.0006,-0.0016,0.0015,0.001,-0.0004,0.0007,-0.0005,-0.0029,-0.002,0.0053,-0.0038,0.0005,-0.0003,0.0021,-0.0061,0.0062,-0.0116,-0.0045,0.0022,0.003,-0.007,0.0026,-0.0079,0.0012,-0.0041,0.0042,-0.0055,0.0051,-0.0059,0.0025,-0.0079,0.0046,-0.0074,0.0015,-0.0026,0.003,-0.005,0.0035,-0.0064
-0.0001,0.0027,-0.0022,0.0027,-0.0068,0.0107,0.0002,0.0003,-0.0061,0.0071,-0.0015,0.0003,0.0064,-0.0046,0.0007,-0.0003,-0.0021,-0.002,-0.0011,0.0047,0.0005,-0.0005,0.0019,-0.0061,0.005,-0.012,-0.0002,0.0028,0.003,-0.0071,0.0024,-0.0078,0.0041,-0.0054,0.0041,-0.0054,0.0049,-0.0058,0.0018,-0.0073,0.003,-0.0056,0.0016,-0.0027,0.003,-0.0053,0.0035,-0.0065
-0.0001,0.0024,0.0078,-0.0069,0.0093,-0.0057,-0.0012,0.001,-0.0057,0.007,0.0041,-0.0052,0,0,0.0016,-0.0011,0.0006,-0.0038,0.0074,-0.0074,0.0006,-0.0006,0.0019,-0.0061,0.0063,-0.0145,-0.002,0.004,0.003,-0.0071,0.0032,-0.0086,-0.0049,0.002,0.0041,-0.0055,0.0051,-0.0061,0.0026,-0.0081,0.0044,-0.0074,0.0015,-0.0027,0.003,-0.0053,0.0033,-0.0062
-0.0053,0.0076,0.006,-0.0079,0.0059,-0.0037,-0.0002,0.0004,0.0002,0.0001,-0.0018,0.0027,0.0108,-0.0051,0.001,-0.0007,0.0068,-0.009,0.003,0.0002,0.0003,-0.0004,0.0018,-0.006,0.0061,-0.0136,0.0051,-0.0006,0.0028,-0.0071,0.0021,-0.0075,0.0029,-0.0068,0.0042,-0.0056,0.0046,-0.0059,0.0016,-0.0073,0.0042,-0.0067,0.0013,-0.0026,0.0026,-0.0057,0.0035,-0.0065
-0.0005,0.0018,0.0019,-0.0029,0.0053,-0.0021,-0.0005,0.0008,0.0043,-0.0035,0.0027,-0.0055,0.0034,-0.0014,0.0015,-0.0013,0.001,-0.006,0.0003,0.0033,0.0003,-0.0006,0.0019,-0.0064,0.0019,-0.0086,-0.0007,-0.0007,0.0027,-0.0071,0.0022,-0.0076,0.0004,-0.0048,0.004,-0.0055,0.0042,-0.0058,0.0019,-0.0078,0.0034,-0.0068,0.0013,-0.0027,0.0022,-0.0057,0.0032,-0.0065
-0.0037,0.0042,-0.0048,0.0014,0.0059,-0.0037,0.0002,-0.0001,0.0014,0.0004,-0.004,0.0027,-0.0047,0.0016,0.0006,-0.0005,-0.001,-0.0022,0.003,-0.0007,-0.0003,-0.0002,0.0015,-0.0059,0.0024,-0.0094,-0.0011,0.0003,0.0025,-0.0071,0.0023,-0.0078,0.0004,-0.0047,0.0038,-0.0055,0.0044,-0.0061,-0.0003,-0.0062,0.0031,-0.0062,0.0011,-0.0027,0.0014,-0.0053,0.0028,-0.0064
-0.0012,0.0029,-0.0012,0.0012,0.0005,0.0044,0,0.0002,0.0011,0.001,0.0015,-0.0028,0.0046,-0.0019,0.0008,-0.0007,-0.0059,0.002,0.0076,-0.0057,0.0004,-0.0006,0.0019,-0.0061,0.0039,-0.0114,-0.0067,0.0108,0.0029,-0.0071,0.0025,-0.0077,-0.0033,-0.0007,0.004,-0.0055,0.0054,-0.0061,0.0017,-0.0074,0.0043,-0.0071,0.0015,-0.0028,0.0034,-0.0055,0.0032,-0.0061
-0.0027,0.0039,0,0,-0.0029,0.0027,0,0.0006,0.0025,0.0001,0.0005,-0.0017,0.008,-0.0045,0.0007,-0.0003,0.0007,-0.0045,0.0044,0.0005,0.0005,-0.0002,0.0021,-0.006,0.0063,-0.0135,-0.0063,0.0091,0.0031,-0.007,0.0031,-0.0087,0.0011,-0.0047,0.0046,-0.0058,0.0051,-0.0057,0.0011,-0.0064,0.0049,-0.0074,0.0015,-0.0026,0.0037,-0.0053,0.0036,-0.0064
-0.0019,0.0031,0.0089,-0.0091,0.0094,-0.0065,-0.0006,0.0008,0.004,-0.0022,-0.0014,-0.0021,0.0021,-0.0024,0.0012,-0.0005,-0.0019,-0.0031,0.0003,0.0043,0.0007,-0.0004,0.002,-0.006,0.0069,-0.0138,-0.0041,0.0055,0.0031,-0.0071,0.0029,-0.0079,0.0028,-0.0053,0.0043,-0.0055,0.0052,-0.0059,0.0026,-0.0079,0.0037,-0.0064,0.0016,-0.0027,0.0036,-0.0057,0.004,-0.0066
-0.0043,0.0065,-0.0007,-0.0032,0.0023,-0.0012,0.0014,-0.001,0.0041,-0.0009,0.0031,-0.0032,-0.0008,0.0041,0.0012,-0.0006,0.0015,-0.004,0.0023,-0.0022,0.0006,-0.0005,0.0025,-0.0065,0.0042,-0.0105,-0.0039,0.0022,0.003,-0.007,0.0031,-0.0083,-0.0003,-0.0026,0.0043,-0.0055,0.0051,-0.006,0.0015,-0.0074,0.0037,-0.0059,0.0015,-0.0027,0.0031,-0.0052,0.0034,-0.0062
-0.0019,0.0041,0.0044,-0.003,0.003,-0.0006,0.001,-0.0007,-0.0036,0.004,-0.0032,-0.0002,0.0043,-0.0034,0.0017,-0.0014,0.0019,-0.0047,0.0152,-0.0109,0.0008,-0.0006,0.0022,-0.0062,0.0033,-0.0097,-0.0029,0.0065,0.0031,-0.0071,0.003,-0.0083,-0.0049,0.0014,0.0042,-0.0055,0.0053,-0.0062,0.0018,-0.0072,0.0052,-0.0081,0.0015,-0.0027,0.0033,-0.0058,0.0034,-0.0061
-0.0013,0.004,0.0023,-0.0056,-0.0078,0.0128,-0.0015,0.0015,-0.0047,0.0053,0.0022,-0.0051,0.0009,0.0025,0.0005,-0.0005,0.0055,-0.0068,0.0068,-0.0038,0.0002,-0.0004,0.0018,-0.0061,0.0058,-0.0115,-0.0073,0.0067,0.0029,-0.0071,0.0027,-0.0082,-0.0039,0.0011,0.0041,-0.0055,0.0046,-0.0059,0.0006,-0.0062,0.0035,-0.0064,0.0014,-0.0028,0.0019,-0.0051,0.0032,-0.0064
0.0008,0.0006,0.0064,-0.0048,-0.0011,0.0011,0.0008,-0.0007,-0.0051,0.0076,0.0021,-0.0042,0.004,-0.0023,0.0011,-0.0008,-0.0021,-0.0018,0.0096,-0.0055,0.0006,-0.0008,0.0016,-0.006,-0.0001,-0.0052,-0.0052,0.0055,0.0027,-0.007,0.0027,-0.0085,-0.0062,0.0027,0.0041,-0.0057,0.0043,-0.0058,0.0008,-0.007,0.0039,-0.0067,0.0013,-0.0028,0.0025,-0.0058,0.0029,-0.0063
-0.005,0.0062,0.0019,-0.0029,0.01,-0.0079,-0.0007,0.0007,-0.0039,0.0053,-0.002,-0.0019,-0.0015,0.0008,0.0012,-0.001,0.0022,-0.0075,0.0049,-0.0029,0.0005,-0.0008,0.0019,-0.0062,0.0066,-0.0143,0.0001,-0.0005,0.0028,-0.007,0.0022,-0.0079,0.0041,-0.0051,0.0039,-0.0054,0.0046,-0.0057,0.0026,-0.0081,0.0028,-0.0061,0.0014,-0.0029,0.003,-0.0058,0.0034,-0.0066
-0.0003,0.0011,0.0055,-0.0054,-0.0004,-0.0004,0.0004,-0.0004,0.0014,-0.0011,-0.0006,-0.0009,0.0043,-0.0014,0.0013,-0.0007,-0.0036,-0.0008,0.0081,-0.0053,0.0007,-0.0006,0.0022,-0.0059,0.0044,-0.0105,-0.003,0.0025,0.0034,-0.0071,0.0022,-0.0078,0.0008,-0.0031,0.0044,-0.0056,0.0055,-0.006,0.003,-0.0077,0.0046,-0.0067,0.0016,-0.0027,0.0042,-0.0056,0.0038,-0.0062
